ㄉㄨㄢˋ	碫
ㄉㄨㄢˋ	躖
ㄉㄨˇ	賭
ㄉㄨˇ	堵
ㄉㄨˇ	睹
ㄉㄨˇ	篤
ㄉㄨˇ	肚
ㄉㄨˇ	錖
ㄉㄨˇ	裻
ㄉㄨˇ	帾
ㄉㄨˋ	度
ㄉㄨˋ	渡
ㄉㄨˋ	肚
ㄉㄨˋ	妒
ㄉㄨˋ	鍍
ㄉㄨˋ	杜
ㄉㄨˋ	蠹
ㄉㄨˋ	秺
ㄉㄨˋ	喥
ㄉㄨˊ	讀
ㄉㄨˊ	獨
ㄉㄨˊ	毒
ㄉㄨˊ	牘
ㄉㄨˊ	纛
ㄉㄨˊ	瀆
ㄉㄨˊ	犢
ㄉㄨˊ	髑
ㄉㄨˊ	讟
ㄉㄨˊ	黷
